Cl,No,Cheval,Driver,Cote,Temps,Redk,Longueur,Distance,Retr,Ec.,Jockey,Poids,Oeil,Fers,Etat,race,date
1,4,ENATTOF,TURRETTINI HENRI,-,3'28"86,1'22"70,1'22"70,2525 m,,,,,,,,Run 3: Attelé - 2525 m,01.01.2018
2,2,DESPERADO DU MERLE,BRACHER HEINER,-,3'28"98,1'22"00,1/2 L,2550 m,,,,,,,,Run 3: Attelé - 2525 m,01.01.2018
3,6,FLYING DEVIL,SENET FRÉDÉRIC,-,3'29"21,1'23"70,1 L 1/4,2500 m,,,,,,,,Run 3: Attelé - 2525 m,01.01.2018
4,7,FREAK OF NATURE,BOVAY MARC-ANDRÉ,-,3'29"27,1'23"70,ENCOLURE,2500 m,,,,,,,,Run 3: Attelé - 2525 m,01.01.2018
5,8,FIGHTER LADY,HUMBERT ANDRÉ,-,3'37"15,1'26"90,LOIN,2500 m,,,,,,,,Run 3: Attelé - 2525 m,01.01.2018
AI,1,DIAZ,GLOOR MAJA,-,-,-,-,2550 m,,,,,,,,Run 3: Attelé - 2525 m,01.01.2018
AI,3,ERICEIRA,SCHNEIDER NICOLE,-,-,-,-,2525 m,,,,,,,,Run 3: Attelé - 2525 m,01.01.2018
NP,5,FLASHDANCE,SENET FRÉDÉRIC,X,-,-,-,2500 m,,,,,,,,Run 3: Attelé - 2525 m,01.01.2018
1,2,VAIHAU,,,,,4'44"22,,,,HUBER MICHAEL,69 Kg,,,,Run 4: Haies - 3800 m,01.01.2018
2,4,NOVEMBER RAIN,,,,,ENCOLURE,,,,LECORDIER ANTHONY,66 Kg,,,,Run 4: Haies - 3800 m,01.01.2018
3,5,SYNDROMOS,,,,,1 L,,,,MASURE GAETAN,65 Kg,,,,Run 4: Haies - 3800 m,01.01.2018
4,3,MAI THAI,,,,,"3,5 L",,,,CHAZELLE ERVAN,66 Kg,,,,Run 4: Haies - 3800 m,01.01.2018
5,1,ASTRUM,,,,,8 L,,,,LANGMEIER JÜRG,69 Kg,,,,Run 4: Haies - 3800 m,01.01.2018
1,3,SWEDISHMAN,FELBER PATRICIA,,3'21"20,1'18"90,1'18"90,2550 m,,-,,,,,,Run 5: Attelé - 2525 m,01.01.2018
2,6,SEMOLA GK,FERRO LORIS,,3'21"26,1'19"70,ENCOLURE,2525 m,,E1,,,,,,Run 5: Attelé - 2525 m,01.01.2018
3,1,SPIKE,GONIN NATHALIE,,3'21"50,1'19"00,1 L 1/4,2550 m,,-,,,,,,Run 5: Attelé - 2525 m,01.01.2018
3,2,TOTEM D'AZUR,HENRY VALÉRIE,,3'21"50,1'19"00,DEAD HEAT,2550 m,,-,,,,,,Run 5: Attelé - 2525 m,01.01.2018
5,4,TOBROUK DE PAYRÉ,BOVAY MARC-ANDRÉ,,3'21"52,1'19"00,TETE,2550 m,,-,,,,,,Run 5: Attelé - 2525 m,01.01.2018
6,8,UN GÉANT D'AMOUR,MATTHEY JEAN-BERNARD,,3'23"46,1'20"60,10 L,2525 m,,-,,,,,,Run 5: Attelé - 2525 m,01.01.2018
